timestamp,event,key_type
2026-08-10T09:31:35.206,release,character
2026-08-10T09:31:35.360,press,character
2026-08-10T09:31:35.507,release,character
2026-08-10T09:31:35.755,press,character
2026-08-10T09:31:35.844,release,character
2026-08-10T09:31:35.926,press,special
2026-08-10T09:31:36.000,release,special
2026-08-10T09:31:36.106,press,character
2026-08-10T09:31:36.206,release,character
2026-08-10T09:31:36.322,press,character
2026-08-10T09:31:36.426,press,special
2026-08-10T09:31:36.452,release,character
2026-08-10T09:31:36.523,release,special
2026-08-10T09:31:36.852,press,character
2026-08-10T09:31:36.946,release,character
2026-08-10T09:31:37.552,press,special
2026-08-10T09:31:37.643,release,special
2026-08-10T09:31:38.226,press,character
2026-08-10T09:31:38.302,release,character
2026-08-10T09:31:38.333,press,character
2026-08-10T09:31:38.444,press,special
2026-08-10T09:31:38.468,release,character
2026-08-10T09:31:38.548,release,special
2026-08-10T09:31:39.041,press,character
2026-08-10T09:31:39.167,release,character
2026-08-10T09:31:39.216,press,character
2026-08-10T09:31:39.331,release,character
2026-08-10T09:31:39.435,press,character
2026-08-10T09:31:39.550,release,character
2026-08-10T09:31:39.712,press,character
2026-08-10T09:31:39.836,release,character
2026-08-10T09:31:39.869,press,character
2026-08-10T09:31:40.002,release,character
2026-08-10T09:31:40.010,press,special
2026-08-10T09:31:40.092,release,special
2026-08-10T09:31:40.396,press,character
2026-08-10T09:31:40.476,release,character
2026-08-10T09:31:40.592,press,character
2026-08-10T09:31:40.707,press,special
2026-08-10T09:31:40.716,release,character
2026-08-10T09:31:40.784,release,special
2026-08-10T09:31:41.102,press,character
2026-08-10T09:31:41.166,release,character
2026-08-10T09:31:41.318,press,character
2026-08-10T09:31:41.424,release,character
2026-08-10T09:31:41.609,press,character
2026-08-10T09:31:41.702,press,special
2026-08-10T09:31:41.724,release,character
2026-08-10T09:31:41.768,release,special
2026-08-10T09:31:42.260,press,character
2026-08-10T09:31:42.396,press,character
2026-08-10T09:31:42.403,release,character
2026-08-10T09:31:42.474,release,character
2026-08-10T09:31:42.892,press,special
2026-08-10T09:31:42.978,release,special
2026-08-10T09:31:43.856,press,character
2026-08-10T09:31:43.943,release,character
2026-08-10T09:31:44.094,press,special
2026-08-10T09:31:44.202,release,special
2026-08-10T09:31:44.341,press,character
2026-08-10T09:31:44.500,release,character
2026-08-10T09:31:44.730,press,character
2026-08-10T09:31:44.818,release,character
2026-08-10T09:31:44.908,press,special
2026-08-10T09:31:44.976,release,special
2026-08-10T09:31:45.365,press,character
2026-08-10T09:31:45.487,release,character
2026-08-10T09:31:45.502,press,character
2026-08-10T09:31:45.585,release,character
2026-08-10T09:31:45.750,press,character
2026-08-10T09:31:45.871,release,character
2026-08-10T09:31:46.050,press,character
2026-08-10T09:31:46.195,release,character
2026-08-10T09:31:46.197,press,character
2026-08-10T09:31:46.280,release,character
2026-08-10T09:31:46.500,press,character
2026-08-10T09:31:46.583,release,character
2026-08-10T09:31:46.705,press,character
