window_start_ms,window_end_ms,is_active,press_count,release_count,character_count,characters_per_second,mean_hold_ms,std_hold_ms,median_hold_ms,mean_flight_ms,std_flight_ms,median_flight_ms,pause_count
0,10000,True,7,7,5,0.5,124.36642857142839,52.789696225864496,127.80099999999948,265.0032500000002,254.84366938102113,200.1935000000003,1
10000,20000,True,15,15,10,1.0,101.17393333333361,29.63754820799064,102.0769999999975,1156.5723000000003,2882.1490157486874,238.83199999999852,3
20000,30000,True,31,30,25,2.5,113.04958064516153,20.489842806903567,115.45200000000114,298.3151999999999,271.98200321268223,246.0610000000015,4
30000,40000,True,34,35,26,2.6,104.13900000000018,29.1103997765662,95.3814999999995,265.1626538461534,182.27411505091757,226.47400000000198,3
40000,50000,True,27,27,18,1.8,99.26403703703761,26.63582797875825,100.92299999999523,543.3052222222213,675.293789680816,277.27400000000125,6
50000,60000,True,23,23,16,1.6,119.92643478260858,30.363960810063716,106.60700000000361,402.7334375000005,337.22238588127755,274.5345000000016,6
60000,70000,False,1,1,1,0.1,82.72099999999773,,82.72099999999773,3424.839,,3424.839,1
