timestamp,elapsed_ms,event,key_id,key_type
2026-08-10T09:12:11.796+00:00,20053.483,press,c70344094ea28ac4b815b31e0071fc673cade1686a3426dc2cd7003f829bc6a4,character
2026-08-10T09:12:11.920+00:00,20177.16,release,c70344094ea28ac4b815b31e0071fc673cade1686a3426dc2cd7003f829bc6a4,character
2026-08-10T09:12:12.072+00:00,20329.172,press,2e08c4195ea03bb30885ed831a0fce02d00fbda2cc68ebe89562689cc6571e40,character
2026-08-10T09:12:12.206+00:00,20463.045,press,7769ac8a12582e8ad3ccd6c8b7d5c7ab300644cefd2da3d1cda77fc5fce80812,character
2026-08-10T09:12:12.226+00:00,20483.183,release,2e08c4195ea03bb30885ed831a0fce02d00fbda2cc68ebe89562689cc6571e40,character
2026-08-10T09:12:12.286+00:00,20543.149,release,7769ac8a12582e8ad3ccd6c8b7d5c7ab300644cefd2da3d1cda77fc5fce80812,character
2026-08-10T09:12:12.361+00:00,20618.812,press,ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,special
2026-08-10T09:12:12.440+00:00,20696.893,release,ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,special
2026-08-10T09:12:12.866+00:00,21123.105,press,926b0b1a9b53764f7593878fa3ee85f1375d82ee8e3840c567c004d7698b4485,character
2026-08-10T09:12:12.998+00:00,21255.181,release,926b0b1a9b53764f7593878fa3ee85f1375d82ee8e3840c567c004d7698b4485,character
2026-08-10T09:12:13.018+00:00,21275.034,press,5761acac657b955fbed518b8d1814e64ac36e86435d4068599dd23746b80d699,character
2026-08-10T09:12:13.132+00:00,21389.319,release,5761acac657b955fbed518b8d1814e64ac36e86435d4068599dd23746b80d699,character
2026-08-10T09:12:13.224+00:00,21481.432,press,c70344094ea28ac4b815b31e0071fc673cade1686a3426dc2cd7003f829bc6a4,character
2026-08-10T09:12:13.340+00:00,21597.183,release,c70344094ea28ac4b815b31e0071fc673cade1686a3426dc2cd7003f829bc6a4,character
2026-08-10T09:12:13.558+00:00,21815.604,press,926b0b1a9b53764f7593878fa3ee85f1375d82ee8e3840c567c004d7698b4485,character
2026-08-10T09:12:13.708+00:00,21965.107,release,926b0b1a9b53764f7593878fa3ee85f1375d82ee8e3840c567c004d7698b4485,character
2026-08-10T09:12:14.120+00:00,22377.211,press,ae2faa8f7b0ce4378083c8c430cfa37375e90b606533102a4d1ae59a0ace5ab8,character
2026-08-10T09:12:14.216+00:00,22473.46,release,ae2faa8f7b0ce4378083c8c430cfa37375e90b606533102a4d1ae59a0ace5ab8,character
2026-08-10T09:12:14.280+00:00,22537.258,press,ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,special
2026-08-10T09:12:14.395+00:00,22652.848,release,ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,special
2026-08-10T09:12:15.316+00:00,23573.097,press,2014880db646d4162ebc36eb5855c9107983238de62481f26bb5a0942fdfdc4c,character
2026-08-10T09:12:15.438+00:00,23695.06,release,2014880db646d4162ebc36eb5855c9107983238de62481f26bb5a0942fdfdc4c,character
2026-08-10T09:12:15.750+00:00,24007.297,press,ac19dc77757b532079d1735b8566fb60ac96ee03c27c5fe4366b752a46e8b051,character
2026-08-10T09:12:15.840+00:00,24097.135,release,ac19dc77757b532079d1735b8566fb60ac96ee03c27c5fe4366b752a46e8b051,character
2026-08-10T09:12:15.942+00:00,24199.071,press,b8330213047c7e85d79510cb4d7d9dc4defbcf487bbfb227bc96a2a53af45572,character
2026-08-10T09:12:16.064+00:00,24321.166,release,b8330213047c7e85d79510cb4d7d9dc4defbcf487bbfb227bc96a2a53af45572,character
2026-08-10T09:12:16.076+00:00,24332.921,press,ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,special
2026-08-10T09:12:16.172+00:00,24429.452,release,ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,special
2026-08-10T09:12:16.878+00:00,25135.043,press,f55367215c1bc555ff5d40216228137afd74b7aac9f0134903e15529427c1127,character
2026-08-10T09:12:16.962+00:00,25219.104,release,f55367215c1bc555ff5d40216228137afd74b7aac9f0134903e15529427c1127,character
