key_id,press_time,release_time,hold_time_ms
f55367215c1bc555ff5d40216228137afd74b7aac9f0134903e15529427c1127,5698.871,5719.574,20.70299999999952
ac19dc77757b532079d1735b8566fb60ac96ee03c27c5fe4366b752a46e8b051,5885.688,6013.489,127.80099999999948
7769ac8a12582e8ad3ccd6c8b7d5c7ab300644cefd2da3d1cda77fc5fce80812,6247.762,6370.21,122.44800000000032
c70344094ea28ac4b815b31e0071fc673cade1686a3426dc2cd7003f829bc6a4,6403.618,6539.473,135.85499999999956
29b324292d73b28a958a4686711b38ccabe75160382c10dc5ded58fa1ee78eea,7165.691,7283.657,117.96600000000035
ccfdb4782ffc8412976c1e6dda4a0ad8f2be613e6d9287ec575ec3c8232b5a39,7333.337,7529.425,196.08799999999974
ccfdb4782ffc8412976c1e6dda4a0ad8f2be613e6d9287ec575ec3c8232b5a39,8918.129,9067.833,149.70399999999972
5761acac657b955fbed518b8d1814e64ac36e86435d4068599dd23746b80d699,16625.238,16658.925,33.68699999999808
52499948e51cc1ab88e16b60ad9a89518f3ccf5e395644caa9cea0c28470663c,16750.976,16873.382,122.40600000000268
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,16962.931,17036.891,73.95999999999913
7769ac8a12582e8ad3ccd6c8b7d5c7ab300644cefd2da3d1cda77fc5fce80812,17220.944,17313.004,92.06000000000131
5761acac657b955fbed518b8d1814e64ac36e86435d4068599dd23746b80d699,17425.044,17535.017,109.97299999999814
52499948e51cc1ab88e16b60ad9a89518f3ccf5e395644caa9cea0c28470663c,17665.119,17789.023,123.90400000000227
2e08c4195ea03bb30885ed831a0fce02d00fbda2cc68ebe89562689cc6571e40,17847.419,17949.496,102.0769999999975
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,17950.685,18017.399,66.71399999999994
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,18258.823,18352.829,94.00600000000122
52499948e51cc1ab88e16b60ad9a89518f3ccf5e395644caa9cea0c28470663c,18467.912,18602.967,135.0550000000003
2e08c4195ea03bb30885ed831a0fce02d00fbda2cc68ebe89562689cc6571e40,18646.925,18763.603,116.67799999999988
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,19013.956,19093.124,79.16800000000148
1c38485e295dfe971f373a477c4f4e51d5bf5099ae0cb20d13da43c410cab47c,19310.919,19461.337,150.41799999999785
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,19474.782,19572.991,98.20900000000256
7769ac8a12582e8ad3ccd6c8b7d5c7ab300644cefd2da3d1cda77fc5fce80812,19835.638,19954.932,119.29400000000169
c70344094ea28ac4b815b31e0071fc673cade1686a3426dc2cd7003f829bc6a4,20053.483,20177.16,123.67699999999968
