press_time,flight_time_ms
5885.688,166.1140000000005
6247.762,234.27300000000014
6403.618,33.40800000000036
7165.691,626.2179999999998
7333.337,49.68000000000029
8918.129,1388.7040000000006
16625.238,7557.405000000001
16750.976,92.05099999999948
16962.931,89.54899999999907
17220.944,184.05299999999988
17425.044,112.04000000000087
17665.119,130.10199999999895
17847.419,58.39600000000064
17950.685,1.1890000000021246
18258.823,241.42399999999907
18467.912,115.08299999999872
18646.925,43.95799999999872
19013.956,250.35299999999916
19310.919,217.7950000000019
19474.782,13.444999999999709
19835.638,262.6469999999972
20053.483,98.55099999999948
20329.172,152.0119999999988
20618.812,75.66300000000047
21123.105,426.21199999999953
21275.034,19.852999999999156
21481.432,92.1130000000012
21815.604,218.42099999999846
22377.211,412.10399999999936
22537.258,63.7980000000025
23573.097,920.2489999999998
24007.297,312.23699999999735
24199.071,101.93600000000151
24332.921,11.75499999999738
25135.043,705.5910000000003
25531.134,312.02999999999884
25745.253,118.02800000000207
25865.136,1.4719999999979336
26607.991,640.7030000000013
27011.942,298.7059999999983
27449.547,320.3760000000002
27625.652,48.43499999999767
27789.145,17.75800000000163
27963.68,78.37299999999959
28321.341,157.80199999999968
28701.32,230.1820000000007
28815.044,13.111000000000786
28973.039,25.350000000002183
29431.305,362.0400000000009
29885.671,360.29499999999825
30139.303,132.0089999999982
30503.63,278.51900000000023
30928.311,334.7340000000004
31057.33,21.592000000000553
31429.752,204.45999999999913
31711.365,163.979000000003
32065.278,197.91999999999825
32656.383,465.1710000000021
32881.329,146.0069999999978
33321.63,375.2589999999982
33471.33,79.76400000000285
33617.393,59.03899999999703
33843.531,114.24300000000221
33981.316,45.73199999999633
34478.522,438.3989999999976
34721.743,76.42000000000553
34912.006,117.73300000000017
35181.845,180.51200000000244
35365.206,99.67899999999645
35615.6,162.36699999999837
35911.854,198.10899999999674
36332.542,345.1949999999997
36539.98,140.19400000000314
36657.25,19.30999999999767
36944.724,194.6710000000021
37397.661,330.0919999999969
37529.299,9.65899999999965
37727.391,106.12600000000384
37903.59,51.99499999999534
38049.235,11.809999999997672
38521.591,382.2609999999986
38953.539,245.19700000000012
39139.672,36.275000000001455
40921.615,1678.0970000000016
41681.323,667.3409999999931
41893.562,105.64899999999761
42259.942,240.50600000000122
43921.548,1568.0430000000051
44137.619,121.70700000000215
44791.54,574.0030000000042
45087.565,213.86700000000565
45183.63,61.81399999999849
45313.731,97.96199999999953
45455.709,23.697000000000116
46021.736,459.56299999999464
46341.763,128.0109999999986
46548.682,74.66999999999825
46705.589,17.88300000000163
46911.833,124.37799999999697
47059.542,25.989000000001397
47197.447,7.586999999999534
47628.204,345.9470000000001
47746.382,28.08299999999872
48192.004,330.4210000000021
48321.503,16.618999999998778
49218.056,808.413999999997
49389.623,39.17699999999604
49617.845,157.30099999999948
49898.698,179.9300000000003
50073.761,87.5109999999986
50782.119,619.7119999999995
50982.663,44.7980000000025
51166.396,86.13900000000285
51435.809,171.58299999999872
51685.067,78.58100000000559
52046.04,262.3199999999997
52286.508,140.59300000000076
52446.029,24.145000000004075
52708.633,168.7870000000039
52973.998,134.08699999999953
53285.865,187.9609999999957
53656.072,266.16599999999744
54320.015,562.0239999999976
54555.968,116.00400000000081
54799.811,137.34799999999814
54963.721,23.918999999994412
55626.264,555.9360000000015
56146.124,261.2100000000064
57442.136,1231.837999999996
57673.979,96.24599999999919
58938.976,1065.1100000000006
61002.572,1960.012999999999
